arch,hazard_cost,num_steps,run_idx,seed,flag_type,flag_coord,flag_id,flag_set_step,confirming_observations,disconfirming_observations,last_confirmation_step,last_observation_step,transformed_at_step,derived_knowledge_flag_id,derived_from_threat_flag_id
v1_10,1.0,320000,8,1349394039,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,23016,19,0,23036,23036,,,
v1_10,1.0,320000,8,1349394039,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,23017,0,0,,23017,,,
v1_10,1.0,320000,8,1349394039,knowledge_banking,haz_green,knowledge_banking:haz_green,23053,7,0,23062,23062,,,
v1_10,1.0,320000,8,1349394039,end_state_activation,,end_state_activation,23053,296946,0,319999,319999,,,
v1_10,1.0,320000,8,1349394039,end_state_banking,att_free_2,end_state_banking:att_free_2,23235,1660,0,310503,310503,,,
v1_10,1.0,320000,8,1349394039,environment_complete,,environment_complete:end_state,23235,182,0,,23235,,,
v1_10,1.0,320000,9,968787408,mastery,att_free_1,mastery:att_free_1,518,9,0,237108,237108,,,
v1_10,1.0,320000,9,968787408,mastery,att_yellow,mastery:att_yellow,523,16,0,234891,234891,,,
v1_10,1.0,320000,9,968787408,mastery,att_free_0,mastery:att_free_0,530,0,0,,530,,,
v1_10,1.0,320000,9,968787408,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,538,0,0,,538,,,
v1_10,1.0,320000,9,968787408,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,546,2,0,551,551,,,
v1_10,1.0,320000,9,968787408,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,548,1,0,550,550,,,
v1_10,1.0,320000,9,968787408,mastery,att_green,mastery:att_green,570,70,0,309517,309517,,,
v1_10,1.0,320000,9,968787408,mastery,att_free_2,mastery:att_free_2,579,4,0,583,583,,,
v1_10,1.0,320000,9,968787408,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,20311,0,0,,20311,,,
v1_10,1.0,320000,9,968787408,knowledge_banking,haz_green,knowledge_banking:haz_green,21503,0,0,,21503,,,
v1_10,1.0,320000,9,968787408,end_state_activation,,end_state_activation,21503,298496,0,319999,319999,,,
v1_10,1.0,320000,9,968787408,end_state_banking,att_free_3,end_state_banking:att_free_3,21506,70,0,21582,21582,,,
v1_10,1.0,320000,9,968787408,environment_complete,,environment_complete:end_state,21506,3,0,,21506,,,
v1_10,2.0,320000,0,271697600,mastery,att_free_1,mastery:att_free_1,518,0,0,,518,,,
v1_10,2.0,320000,0,271697600,mastery,att_yellow,mastery:att_yellow,524,0,0,,524,,,
v1_10,2.0,320000,0,271697600,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,1580,2,0,82704,82704,,,
v1_10,2.0,320000,0,271697600,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,1585,0,0,,1585,,,
v1_10,2.0,320000,0,271697600,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,1588,3,0,1591,1591,,,
v1_10,2.0,320000,0,271697600,mastery,att_green,mastery:att_green,1618,405,0,319685,319685,,,
v1_10,2.0,320000,0,271697600,mastery,att_free_2,mastery:att_free_2,1675,20,0,53354,53354,,,
v1_10,2.0,320000,0,271697600,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,16614,11,0,16831,16831,,,
v1_10,2.0,320000,0,271697600,mastery,att_free_3,mastery:att_free_3,16618,0,0,,16618,,,
v1_10,2.0,320000,0,271697600,knowledge_banking,haz_green,knowledge_banking:haz_green,16623,7,0,16630,16630,,,
v1_10,2.0,320000,0,271697600,end_state_activation,,end_state_activation,16623,303376,0,319999,319999,,,
v1_10,2.0,320000,0,271697600,end_state_banking,att_free_0,end_state_banking:att_free_0,16839,282,0,82582,82582,,,
v1_10,2.0,320000,0,271697600,environment_complete,,environment_complete:end_state,16839,216,0,,16839,,,
v1_10,2.0,320000,1,1939235730,mastery,att_free_1,mastery:att_free_1,518,8,0,145043,145043,,,
v1_10,2.0,320000,1,1939235730,mastery,att_yellow,mastery:att_yellow,522,213,0,152811,152811,,,
v1_10,2.0,320000,1,1939235730,knowledge_banking,haz_yellow,knowledge_banking:haz_yellow,1467,27,0,308225,308225,,,
v1_10,2.0,320000,1,1939235730,knowledge_banking,haz_unaff_1,knowledge_banking:haz_unaff_1,1472,2,0,1476,1476,,,
v1_10,2.0,320000,1,1939235730,knowledge_banking,haz_unaff_0,knowledge_banking:haz_unaff_0,1474,0,0,,1474,,,
v1_10,2.0,320000,1,1939235730,mastery,att_green,mastery:att_green,1953,111,0,289937,289937,,,
v1_10,2.0,320000,1,1939235730,mastery,att_free_2,mastery:att_free_2,1967,2,0,1969,1969,,,
v1_10,2.0,320000,1,1939235730,knowledge_banking,haz_unaff_2,knowledge_banking:haz_unaff_2,1978,0,0,,1978,,,
v1_10,2.0,320000,1,1939235730,mastery,att_free_3,mastery:att_free_3,1983,0,0,,1983,,,
v1_10,2.0,320000,1,1939235730,knowledge_banking,haz_green,knowledge_banking:haz_green,1988,10,0,2003,2003,,,
v1_10,2.0,320000,1,1939235730,end_state_activation,,end_state_activation,1988,318011,0,319999,319999,,,
v1_10,2.0,320000,1,1939235730,end_state_banking,att_free_0,end_state_banking:att_free_0,15899,1394,0,308196,308196,,,
