arch,hazard_cost,num_steps,run_idx,seed,tier_structure_similarity,form_progression_parallelism,traversal_sequence_distance,green_traversal_complete,yellow_traversal_complete,both_complete,green_first,traversal_interleaving,cross_family_comparison_complete
arch,hazard_cost,num_steps,run_idx,seed,tier_structure_similarity,form_progression_parallelism,traversal_sequence_distance,green_traversal_complete,yellow_traversal_complete,both_complete,green_first,traversal_interleaving,cross_family_comparison_complete
v1_5,0.1,320000,1,1869897005,0.0,1.0,0.722595,True,True,True,True,interleaved,True
v1_5,0.1,320000,2,1489290374,0.0,1.0,0.707508,True,True,True,True,interleaved,True
v1_5,0.1,320000,3,1108683743,0.0,1.0,0.725293,True,True,True,False,interleaved,True
v1_5,0.1,320000,4,628738225,0.0,1.0,0.710046,True,True,True,False,interleaved,True
v1_5,0.1,320000,5,248131594,0.0,1.0,0.709391,True,True,True,True,interleaved,True
v1_5,0.1,320000,6,1915669724,0.0,1.0,0.704656,True,True,True,True,interleaved,True
v1_5,0.1,320000,7,1535063093,0.0,1.0,0.704304,True,True,True,True,interleaved,True
v1_5,0.1,320000,8,1154456462,0.0,1.0,0.702499,True,True,True,True,interleaved,True
v1_5,0.1,320000,9,674510944,0.0,1.0,0.704609,True,True,True,False,interleaved,True
v1_5,0.5,320000,0,749409430,0.0,1.0,0.701991,True,True,True,True,interleaved,True
v1_5,0.5,320000,1,269463912,0.0,1.0,0.712012,True,True,True,True,interleaved,True
v1_5,0.5,320000,2,2036340929,0.0,1.0,0.703274,True,True,True,True,interleaved,True
v1_5,0.5,320000,3,1655734298,0.0,1.0,0.702021,True,True,True,True,interleaved,True
v1_5,0.5,320000,4,1175788780,0.0,1.0,0.705034,True,True,True,True,interleaved,True
v1_5,0.5,320000,5,795182149,0.0,1.0,0.712396,True,True,True,True,interleaved,True
v1_5,0.5,320000,6,315236631,0.0,1.0,0.726357,True,True,True,True,interleaved,True
v1_5,0.5,320000,7,2082113648,0.0,1.0,0.705876,True,True,True,True,interleaved,True
v1_5,0.5,320000,8,1602168130,0.0,1.0,0.709143,True,True,True,False,interleaved,True
v1_5,0.5,320000,9,1221561499,0.0,1.0,0.707504,True,True,True,True,interleaved,True
v1_5,1.0,320000,0,496635339,0.0,1.0,0.728678,True,True,True,True,interleaved,True
v1_5,1.0,320000,1,16689821,0.0,1.0,0.754199,True,True,True,True,interleaved,True
v1_5,1.0,320000,2,1783566838,0.0,1.0,0.725763,True,True,True,True,interleaved,True
v1_5,1.0,320000,3,1303621320,0.0,1.0,0.726981,True,True,True,True,interleaved,True
v1_5,1.0,320000,4,923014689,0.0,1.0,0.724211,True,True,True,True,interleaved,True
v1_5,1.0,320000,5,542408058,0.0,1.0,0.732003,True,True,True,False,interleaved,True
v1_5,1.0,320000,6,62462540,0.0,1.0,0.701979,True,True,True,True,interleaved,True
v1_5,1.0,320000,7,1829339557,0.0,1.0,0.702154,True,True,True,True,interleaved,True
v1_5,1.0,320000,8,1349394039,0.0,1.0,0.702088,True,True,True,True,interleaved,True
v1_5,1.0,320000,9,968787408,0.0,1.0,0.701519,True,True,True,True,interleaved,True
v1_5,2.0,320000,0,271697600,0.0,1.0,0.764392,True,True,True,True,interleaved,True
v1_5,2.0,320000,1,1939235730,0.0,1.0,0.713889,True,True,True,True,interleaved,True
v1_5,2.0,320000,2,1558629099,0.0,1.0,0.711605,True,True,True,True,interleaved,True
v1_5,2.0,320000,3,1178022468,0.0,1.0,0.703839,True,True,True,True,interleaved,True
v1_5,2.0,320000,4,698076950,0.0,1.0,0.704316,True,True,True,True,interleaved,True
v1_5,2.0,320000,5,317470319,0.0,1.0,0.700351,True,True,True,True,interleaved,True
v1_5,2.0,320000,6,1985008449,0.0,1.0,0.743468,True,True,True,False,interleaved,True
v1_5,2.0,320000,7,1604401818,0.0,1.0,0.705411,True,True,True,True,interleaved,True
v1_5,2.0,320000,8,1124456300,0.0,1.0,0.7361,True,True,True,True,interleaved,True
v1_5,2.0,320000,9,743849669,0.0,1.0,0.708311,True,True,True,True,interleaved,True
v1_5,5.0,320000,0,853186608,0.0,1.0,0.702001,True,True,True,True,interleaved,True
v1_5,5.0,320000,1,472579977,0.0,1.0,0.701576,True,True,True,True,interleaved,True
v1_5,5.0,320000,2,2140118107,0.0,1.0,0.71007,True,True,True,True,interleaved,True
v1_5,5.0,320000,3,1759511476,0.0,1.0,0.711739,True,True,True,True,interleaved,True
v1_5,5.0,320000,4,1378904845,0.0,1.0,0.790118,True,True,True,False,interleaved,True
