hazard_mode,hazard_cost,p3_concentration,p3_attractor_ratio,p2_attractor_ratio,mastered_count,top_on_attractor,top_near_attractor,top_attractor,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,hazard_entries_total,total_cost_incurred,rule_violated_total,rule_violated_p3,frame_attempts_total,hazard_attempts_total
cost,1.0,68.18625,1.4687291666666666,5.581383723255349,83,3,3,"(4, 15)",0,0,0,0,0.0,0,0,0,0
cost,1.0,146.421,24.4035,14.839646356442994,51,2,3,"(4, 15)",0,0,0,0,0.0,0,0,0,0
cost,1.0,144.945625,24.157604166666665,18.457294255434626,37,1,4,"(4, 15)",0,0,0,0,0.0,0,0,0,0
cost,1.0,82.501375,15.185729166666667,8.74796469277573,101,5,5,"(4, 15)",0,0,0,0,0.0,0,0,0,0
cost,1.0,66.391875,20.150166666666667,8.146542120147398,90,4,4,"(9, 10)",0,0,0,0,0.0,0,0,0,0
cost,1.0,113.4045,19.42577083333333,8.274116605250379,86,4,4,"(9, 10)",0,0,0,0,0.0,0,0,0,0
cost,1.0,143.7095,23.951583333333332,20.72174136601251,38,1,4,"(11, 5)",0,0,0,0,0.0,0,0,0,0
cost,1.0,142.67275,23.778791666666663,14.27922986831205,44,1,3,"(4, 15)",0,0,0,0,0.0,0,0,0,0
cost,1.0,111.370875,19.40583333333333,8.711514839889166,74,3,4,"(4, 15)",0,0,0,0,0.0,0,0,0,0
cost,2.0,143.669625,23.9449375,10.538563715828262,75,4,5,"(15, 16)",0,0,0,0,0.0,0,0,0,0
cost,2.0,58.77575,8.925354166666667,12.488630845259518,95,3,3,"(3, 3)",0,0,0,0,0.0,0,0,0,0
cost,2.0,35.688125,8.493375,4.223626703230782,91,3,3,"(11, 5)",0,0,0,0,0.0,0,0,0,0
cost,2.0,86.13,1.3225208333333334,4.597237695318079,79,5,5,"(4, 15)",0,0,0,0,0.0,0,0,0,0
cost,2.0,133.661,22.276833333333332,9.59542377238838,74,4,4,"(15, 16)",0,0,0,0,0.0,0,0,0,0
cost,2.0,147.098875,24.516479166666667,12.49318707687034,50,2,4,"(15, 16)",0,0,0,0,0.0,0,0,0,0
cost,2.0,92.868875,15.478145833333334,8.556602965121261,68,1,2,"(15, 16)",0,0,0,0,0.0,0,0,0,0
cost,2.0,144.626625,24.104437499999996,18.316051075499182,45,2,4,"(4, 15)",0,0,0,0,0.0,0,0,0,0
cost,2.0,119.266125,0.6247083333333333,2.7929699774330845,66,2,2,"(9, 10)",0,0,0,0,0.0,0,0,0,0
cost,2.0,149.331875,0.0,7.567900705573171,62,4,4,"(3, 3)",0,0,0,0,0.0,0,0,0,0
cost,5.0,105.1105,19.85775,13.326977461650527,74,2,3,"(16, 3)",0,0,0,0,0.0,0,0,0,0
cost,5.0,137.0105,22.835083333333333,15.732667752163852,47,1,2,"(4, 15)",0,0,0,0,0.0,0,0,0,0
cost,5.0,58.77575,10.553583333333334,9.335718570571599,87,5,5,"(9, 10)",0,0,0,0,0.0,0,0,0,0
cost,5.0,145.86275,24.16425,20.380023995200958,57,4,5,"(16, 3)",0,0,0,0,0.0,0,0,0,0
cost,5.0,100.764125,17.664624999999997,9.312937412517496,101,4,5,"(11, 5)",0,0,0,0,0.0,0,0,0,0
cost,5.0,110.29425,18.269395833333334,8.492815722569771,77,2,3,"(4, 15)",0,0,0,0,0.0,0,0,0,0
cost,5.0,143.78925,23.964875,10.31986459850887,68,3,4,"(15, 16)",0,0,0,0,0.0,0,0,0,0
cost,5.0,89.55925,20.65525,20.935884251721085,64,3,5,"(9, 10)",0,0,0,0,0.0,0,0,0,0
cost,5.0,146.18175,24.363625,15.832904847601906,59,3,4,"(3, 3)",0,0,0,0,0.0,0,0,0,0
cost,5.0,103.43575,18.236166666666666,7.253520724426543,83,4,4,"(9, 10)",0,0,0,0,0.0,0,0,0,0
cost,10.0,144.6665,24.037979166666666,13.81905047561916,48,1,2,"(15, 16)",0,0,0,0,0.0,0,0,0,0
cost,10.0,105.070625,17.657979166666667,9.53163652983689,88,2,3,"(4, 15)",0,0,0,0,0.0,0,0,0,0
cost,10.0,51.398875000000004,1.3889791666666664,3.622204130602451,84,3,3,"(9, 10)",0,0,0,0,0.0,0,0,0,0
