i_cost,i_steps,i_run_idx,j_cost,j_steps,j_run_idx,d_order,d_content,d_xref,d_conf,d_composite,same_cell
0.1,20000,0,5.0,80000,7,0.563636,0.214286,0.500000,0.444348,0.430568,0
0.1,20000,0,5.0,80000,8,0.500000,0.200000,1.000000,0.402188,0.525547,0
0.1,20000,0,5.0,80000,9,0.348485,0.142857,1.000000,0.455311,0.486663,0
0.1,20000,0,5.0,160000,0,0.348485,0.142857,1.000000,0.347769,0.459778,0
0.1,20000,0,5.0,160000,1,0.381818,0.266667,0.666667,0.500688,0.453960,0
0.1,20000,0,5.0,160000,2,0.363636,0.142857,1.000000,0.377115,0.470902,0
0.1,20000,0,5.0,160000,3,0.303030,0.200000,1.000000,0.365580,0.467153,0
0.1,20000,0,5.0,160000,4,0.717949,0.133333,0.666667,0.321210,0.459790,0
0.1,20000,0,5.0,160000,5,0.378788,0.142857,1.000000,0.350735,0.468095,0
0.1,20000,0,5.0,160000,6,0.363636,0.250000,1.000000,0.527911,0.535387,0
0.1,20000,0,5.0,160000,7,0.303030,0.200000,1.000000,0.302215,0.451311,0
0.1,20000,0,5.0,160000,8,0.454545,0.200000,1.000000,0.327924,0.495617,0
0.1,20000,0,5.0,160000,9,0.227273,0.142857,1.000000,0.317527,0.421914,0
0.1,20000,0,10.0,20000,0,0.318182,0.142857,1.000000,0.364235,0.456319,0
0.1,20000,0,10.0,20000,1,0.357143,0.384615,1.000000,0.252623,0.498595,0
0.1,20000,0,10.0,20000,2,0.333333,0.538462,1.000000,0.519333,0.597782,0
0.1,20000,0,10.0,20000,3,0.222222,0.285714,1.000000,0.308960,0.454224,0
0.1,20000,0,10.0,20000,4,0.392857,0.466667,1.000000,0.439908,0.574858,0
0.1,20000,0,10.0,20000,5,0.555556,0.230769,1.000000,0.311565,0.524472,0
0.1,20000,0,10.0,20000,6,0.100000,0.615385,1.000000,0.485623,0.550252,0
0.1,20000,0,10.0,20000,7,0.424242,0.142857,1.000000,0.262365,0.457366,0
0.1,20000,0,10.0,20000,8,0.357143,0.384615,1.000000,0.403056,0.536204,0
0.1,20000,0,10.0,20000,9,0.333333,0.307692,1.000000,0.248374,0.472350,0
0.1,20000,0,10.0,80000,0,0.409091,0.142857,1.000000,0.428169,0.495029,0
0.1,20000,0,10.0,80000,1,0.439394,0.200000,1.000000,0.290683,0.482519,0
0.1,20000,0,10.0,80000,2,0.357143,0.428571,1.000000,0.627733,0.603362,0
0.1,20000,0,10.0,80000,3,0.345455,0.312500,0.750000,0.480247,0.472050,0
0.1,20000,0,10.0,80000,4,0.287879,0.142857,1.000000,0.409225,0.459990,0
0.1,20000,0,10.0,80000,5,0.393939,0.250000,1.000000,0.482795,0.531684,0
0.1,20000,0,10.0,80000,6,0.227273,0.200000,1.000000,0.242767,0.417510,0
0.1,20000,0,10.0,80000,7,0.257576,0.200000,1.000000,0.267063,0.431160,0
0.1,20000,0,10.0,80000,8,0.230769,0.133333,0.500000,0.555781,0.354971,0
0.1,20000,0,10.0,80000,9,0.333333,0.200000,1.000000,0.401238,0.483643,0
0.1,20000,0,10.0,160000,0,0.515152,0.294118,1.000000,0.530260,0.584882,0
0.1,20000,0,10.0,160000,1,0.500000,0.235294,0.750000,0.520494,0.501447,0
0.1,20000,0,10.0,160000,2,0.560606,0.142857,1.000000,0.450966,0.538607,0
0.1,20000,0,10.0,160000,3,0.393939,0.142857,1.000000,0.156471,0.423317,0
0.1,20000,0,10.0,160000,4,0.378788,0.294118,1.000000,0.503818,0.544181,0
0.1,20000,0,10.0,160000,5,0.320513,0.187500,0.666667,0.616040,0.447680,0
0.1,20000,0,10.0,160000,6,0.484848,0.200000,1.000000,0.345909,0.507689,0
0.1,20000,0,10.0,160000,7,0.454545,0.076923,1.000000,0.169000,0.425117,0
0.1,20000,0,10.0,160000,8,0.311111,0.333333,1.000000,0.568774,0.553305,0
0.1,20000,0,10.0,160000,9,0.575758,0.200000,1.000000,0.377336,0.538273,0
0.1,20000,1,0.1,20000,2,0.523810,0.533333,1.000000,0.528988,0.646533,1
0.1,20000,1,0.1,20000,3,0.392857,0.500000,0.666667,0.544888,0.526103,1
0.1,20000,1,0.1,20000,4,0.333333,0.571429,1.000000,0.316389,0.555288,1
0.1,20000,1,0.1,20000,5,0.388889,0.250000,0.500000,0.319076,0.364491,1
0.1,20000,1,0.1,20000,6,0.700000,0.500000,1.000000,0.258152,0.614538,1
0.1,20000,1,0.1,20000,7,0.361111,0.400000,0.000000,0.313851,0.268741,1
0.1,20000,1,0.1,20000,8,0.392857,0.333333,0.750000,0.299357,0.443887,1
0.1,20000,1,0.1,20000,9,0.000000,0.692308,1.000000,0.404498,0.524201,1
0.1,20000,1,0.1,80000,0,0.428571,0.529412,0.750000,0.640322,0.587076,0
0.1,20000,1,0.1,80000,1,0.238095,0.500000,0.666667,0.249958,0.413680,0
0.1,20000,1,0.1,80000,2,0.392857,0.500000,0.666667,0.704845,0.566092,0
0.1,20000,1,0.1,80000,3,0.523810,0.533333,1.000000,0.621229,0.669593,0
0.1,20000,1,0.1,80000,4,0.571429,0.588235,1.000000,0.747995,0.726915,0
0.1,20000,1,0.1,80000,5,0.380952,0.533333,1.000000,0.709174,0.655865,0
0.1,20000,1,0.1,80000,6,0.607143,0.500000,0.666667,0.673899,0.611927,0
0.1,20000,1,0.1,80000,7,0.285714,0.533333,1.000000,0.794537,0.653396,0
0.1,20000,1,0.1,80000,8,0.380952,0.533333,1.000000,0.819940,0.683556,0
0.1,20000,1,0.1,80000,9,0.523810,0.562500,1.000000,0.815770,0.725520,0
0.1,20000,1,0.1,160000,0,0.523810,0.588235,1.000000,0.760483,0.718132,0
0.1,20000,1,0.1,160000,1,0.392857,0.500000,0.666667,0.759359,0.579721,0
0.1,20000,1,0.1,160000,2,0.250000,0.100000,0.000000,0.377398,0.181849,0
0.1,20000,1,0.1,160000,3,0.611111,0.437500,0.333333,0.741572,0.530879,0
0.1,20000,1,0.1,160000,4,0.428571,0.533333,1.000000,0.838412,0.700079,0
0.1,20000,1,0.1,160000,5,0.250000,0.500000,0.666667,0.765432,0.545525,0
0.1,20000,1,0.1,160000,6,0.238095,0.562500,1.000000,0.794506,0.648775,0
0.1,20000,1,0.1,160000,7,0.142857,0.500000,0.666667,0.354190,0.415929,0
0.1,20000,1,0.1,160000,8,0.380952,0.588235,1.000000,0.778221,0.686852,0
0.1,20000,1,0.1,160000,9,0.380952,0.533333,1.000000,0.836116,0.687600,0
0.1,20000,1,0.5,20000,0,0.000000,0.750000,1.000000,0.233862,0.495965,0
0.1,20000,1,0.5,20000,1,0.266667,0.538462,1.000000,0.439730,0.561215,0
0.1,20000,1,0.5,20000,2,0.190476,0.222222,1.000000,0.311834,0.431133,0
