arch,hazard_cost,num_steps,run_idx,seed,phase_1_end,phase_2_end,frame_attempts_p1,frame_attempts_p2,frame_attempts_p3,hazard_entries_p1,hazard_entries_p2,hazard_entries_p3,total_cost,mastered_pairs,top_attractor,top_attractor_pref,phase_3_clean,full_run_clean,hazards_flagged,time_to_first_flag,time_to_second_flag,time_to_final_flag,first_entry_conversions,cost_on_sig_matched,actions_gated_p2,actions_gated_p3,attractors_mastered,time_to_first_mastery,time_to_final_mastery,first_banked,mastery_sequence,post_mastery_visits_total,p3_visits_to_mastered,p3_visits_to_unmastered,end_state_cell,activation_step,end_state_found_step,end_state_visits,end_state_banked,post_activation_window,discovery_time
v0_13,10.0,160000,0,565380326,331,96000,0,0,0,0,7,0,70.0,402,"(3, 3)",0.0,True,False,2,14660,46961,46961,1,1.0,25981,2976,6,996,7822,"(4, 15)","(4, 15)|(9, 10)|(3, 3)|(11, 5)|(16, 3)|(15, 16)",3641,71,0,"(17, 18)",7822,7870,772,True,152178,48
v0_13,10.0,160000,1,184773695,331,96000,0,0,0,0,9,0,90.0,450,"(3, 3)",0.0,True,False,5,2077,2394,65420,4,4.0,24674,3991,6,573,64350,"(3, 3)","(3, 3)|(4, 15)|(15, 16)|(9, 10)|(11, 5)|(16, 3)",3687,476,0,"(10, 8)",64350,68687,85,True,95650,4337
v0_13,10.0,160000,2,1852311825,331,96000,0,0,0,0,8,0,80.0,429,"(3, 3)",0.0,True,False,5,3871,3875,44808,4,4.0,17312,223,6,358,53876,"(4, 15)","(4, 15)|(16, 3)|(11, 5)|(9, 10)|(3, 3)|(15, 16)",4678,50,0,"(15, 3)",53876,54873,17,True,106124,997
v0_13,10.0,160000,3,1471705194,331,96000,0,0,0,0,6,0,60.0,409,"(3, 3)",0.0,True,False,3,30710,31091,91115,2,2.0,15849,77,6,370,70877,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(15, 16)|(3, 3)",3126,217,0,"(5, 3)",70877,70879,114,True,89123,2
v0_13,10.0,160000,4,1091098563,331,96000,0,0,0,0,8,0,80.0,436,"(3, 3)",0.0,True,False,5,913,1027,41224,4,4.0,19112,3830,5,1034,3346,"(9, 10)","(9, 10)|(15, 16)|(16, 3)|(11, 5)|(4, 15)",4090,38,0,"(7, 4)",,,0,False,,
v0_13,10.0,160000,5,611153045,331,96000,0,0,0,0,9,0,90.0,461,"(3, 3)",0.0,True,False,5,15636,15639,18877,4,4.0,24275,4436,6,1354,31163,"(4, 15)","(4, 15)|(9, 10)|(15, 16)|(16, 3)|(11, 5)|(3, 3)",4333,913,0,"(5, 1)",31163,31397,923,True,128837,234
v0_13,10.0,160000,6,230546414,331,96000,0,0,0,0,8,0,80.0,416,"(3, 3)",0.0,True,False,5,4998,4999,22823,4,4.0,17746,27047,6,350,27086,"(4, 15)","(4, 15)|(3, 3)|(16, 3)|(11, 5)|(9, 10)|(15, 16)",4862,22,0,"(18, 7)",27086,29214,515,True,132914,2128
v0_13,10.0,160000,7,1898084544,331,96000,0,0,0,0,11,0,110.0,442,"(3, 3)",0.0,True,False,5,39753,40036,73214,4,4.0,16103,51799,6,1614,39694,"(4, 15)","(4, 15)|(9, 10)|(11, 5)|(16, 3)|(3, 3)|(15, 16)",4553,115,0,"(18, 1)",39694,61980,1,True,120306,22286
v0_13,10.0,160000,8,1517477913,331,96000,0,0,0,0,8,0,80.0,427,"(3, 3)",0.0,True,False,5,8575,12767,39737,4,4.0,15138,3109,6,338,79782,"(4, 15)","(4, 15)|(3, 3)|(9, 10)|(11, 5)|(15, 16)|(16, 3)",4429,406,0,"(4, 11)",79782,79884,43,True,80218,102
v0_13,10.0,160000,9,1037532395,331,96000,0,0,0,0,9,0,90.0,450,"(3, 3)",0.0,True,False,5,7204,9535,31259,4,4.0,26073,21860,6,1040,64146,"(9, 10)","(9, 10)|(11, 5)|(16, 3)|(15, 16)|(3, 3)|(4, 15)",4322,516,0,"(11, 15)",64146,66951,26,True,95854,2805
