arch,run_idx,seed,hazard_cost,num_steps,object_id,closest_approach_step,closest_approach_distance,phase_at_approach,goal_relevant,pre_threshold_entries
,,,,,haz_yellow,579061,3.0,2,True,1
,,,,,dist_yellow,578113,2.236068,2,True,0
,,,,,haz_green,579313,8.306624,2,False,0
,,,,,haz_unaff_0,579061,4.242641,2,False,0
,,,,,haz_unaff_1,579600,4.242641,2,False,0
,,,,,haz_yellow,580987,2.236068,2,True,1
,,,,,dist_yellow,579839,2.236068,2,True,0
,,,,,haz_blue,580478,5.196152,2,False,0
,,,,,haz_green,581720,6.78233,2,False,0
,,,,,haz_yellow,581917,2.236068,2,True,1
,,,,,haz_unaff_2,582102,5.744563,2,False,0
,,,,,haz_unaff_1,582107,5.09902,2,False,0
,,,,,haz_unaff_0,582107,4.123106,2,False,0
,,,,,haz_green,582588,7.549834,2,False,0
,,,,,haz_yellow,582502,3.0,2,True,1
,,,,,haz_unaff_1,582679,4.472136,2,False,0
,,,,,haz_blue,584054,5.91608,2,False,0
,,,,,haz_yellow,584617,3.316625,2,True,1
,,,,,haz_unaff_0,584634,4.242641,2,False,0
,,,,,haz_blue,584824,5.477226,2,False,0
,,,,,dist_yellow,585060,2.236068,2,True,0
,,,,,haz_unaff_2,585060,5.656854,2,False,0
,,,,,haz_unaff_0,585122,4.242641,2,False,0
,,,,,haz_green,585076,7.874008,2,False,0
,,,,,haz_green,586988,8.306624,2,False,0
,,,,,haz_yellow,587484,3.741657,2,True,1
,,,,,haz_unaff_0,590158,4.242641,2,False,0
,,,,,haz_unaff_1,590385,3.741657,2,False,0
,,,,,haz_blue,590650,4.582576,2,False,0
,,,,,haz_unaff_1,591538,4.898979,2,False,0
,,,,,haz_unaff_0,591279,4.358899,2,False,0
,,,,,haz_yellow,591279,2.44949,2,True,1
,,,,,dist_yellow,591693,2.44949,2,True,0
,,,,,haz_blue,591693,4.242641,2,False,0
,,,,,haz_unaff_2,591693,5.0,2,False,0
,,,,,haz_green,591693,7.81025,2,False,0
,,,,,haz_yellow,592133,3.464102,2,True,1
,,,,,dist_yellow,592293,2.236068,2,True,0
,,,,,haz_blue,592913,5.0,2,False,0
,,,,,haz_unaff_2,592913,5.09902,2,False,0
,,,,,haz_green,593633,8.717798,2,False,0
,,,,,haz_unaff_0,593633,4.123106,2,False,0
,,,,,haz_yellow,593633,1.414214,2,True,1
,,,,,dist_yellow,592913,1.0,2,True,0
,,,,,haz_blue,593752,5.196152,2,False,0
,,,,,haz_green,594959,7.874008,2,False,0
,,,,,haz_blue,595345,5.196152,2,False,0
,,,,,haz_unaff_2,595345,5.656854,2,False,0
,,,,,dist_yellow,595345,2.236068,2,True,0
,,,,,haz_unaff_1,595573,3.605551,2,False,0
,,,,,haz_unaff_0,595573,2.44949,2,False,0
,,,,,haz_yellow,595573,1.0,2,True,1
,,,,,haz_green,596134,7.549834,2,False,0
,,,,,haz_blue,595944,5.196152,2,False,0
,,,,,haz_unaff_2,596134,5.385165,2,False,0
,,,,,haz_unaff_1,596222,5.385165,2,False,0
,,,,,haz_unaff_2,596525,5.744563,2,False,0
,,,,,haz_unaff_0,597100,3.741657,2,False,0
,,,,,haz_blue,597990,4.898979,2,False,0
,,,,,haz_unaff_2,597460,5.744563,2,False,0
,,,,,dist_yellow,598044,2.236068,2,True,0
,,,,,haz_yellow,600737,2.44949,3,True,1
,,,,,haz_blue,600656,4.582576,3,False,0
,,,,,dist_yellow,602578,2.236068,3,True,0
,,,,,haz_unaff_1,602768,5.477226,3,False,0
,,,,,haz_unaff_2,602304,5.385165,3,False,0
,,,,,haz_unaff_0,603731,2.828427,3,False,0
,,,,,haz_blue,603570,5.196152,3,False,0
